# Source: Manual Técnico SIFEN v150, Tabla 2.1 (DEPARTAMENTOS, DISTRITOS Y CIUDADES)
# Original file: CODIGO DE REFERENCIA GEOGRAFICA.xlsx (DNIT 2023)
# Generated by: scripts/generate_geo_catalogs.py
codigo,nombre,nombre_display,codigo_padre,activo
279,TUYUCUA,TUYUCUA,32,1
280,YACAREY,YACAREY,32,1
281,NU-AI,ÑU-AI,32,1
282,ISLA PUCU,ISLA PUCU,33,1
283,AGUARAY,AGUARAY,33,1
284,AGUARAY RIO,AGUARAY RIO,33,1
285,ARROYO PORA,ARROYO PORA,33,1
286,CAACUPE MI,CAACUPE MI,33,1
287,CHOCHI,CHOCHI,33,1
288,ITA YBATE,ITA YBATE,33,1
289,LOMA,LOMA,33,1
290,PINDOTY,PINDOTY,33,1
291,TAPE GUAZU,TAPE GUAZU,33,1
292,TAPE POI,TAPE POI,33,1
293,TUCUNGA CANADA,TUCUNGA CAÑADA,33,1
294,ITACURUBI DE LA CORDILLERA,ITACURUBI DE LA CORDILLERA,34,1
295,CAAGUY CUPE,CAAGUY CUPE,34,1
296,CARAY POTRERO,CARAY POTRERO,34,1
297,COL.MENNONITA,COL.MENNONITA,34,1
298,ESTANCIA BUENAVENTURA,ESTANCIA BUENAVENTURA,34,1
299,GARIY LOMA,GARIY LOMA,34,1
300,ITAC.DE LA CORDILLERA (MUNIC),ITAC.DE LA CORDILLERA (MUNIC),34,1
301,JHUGUA POI,JHUGUA POI,34,1
302,LOMA MEDINA,LOMA MEDINA,34,1
303,MINAS-CUE,MINAS-CUE,34,1
304,PIRAYU-I,PIRAYU-I,34,1
305,RUBIO NU,RUBIO ÑU,34,1
306,SANTA LUCIA,SANTA LUCIA,34,1
307,TACUARA APUAIL,TACUARA APUAIL,34,1
308,TACUARA NERHOT,TACUARA NERHOT,34,1
309,YAGUARETE CUA,YAGUARETE CUA,34,1
310,8 DE DICIEMBRE,8 DE DICIEMBRE,35,1
311,ARROZAL ACEVAL,ARROZAL ACEVAL,35,1
312,BUENA VISTA,BUENA VISTA,35,1
313,COL.FIDEL MAIZ,COL.FIDEL MAIZ,35,1
314,ESTACION CRISTAL CUE,ESTACION CRISTAL CUE,35,1
315,ESTACION FRANCA-I,ESTACION FRANCA-I,35,1
316,ESTACION GASORY,ESTACION GASORY,35,1
317,ESTACION GONZALEZ CUE(V.DEL R),ESTACION GONZALEZ CUE(V.DEL R),35,1
318,ESTACION GUAZU PYTA (V.DEL R),ESTACION GUAZU PYTA (V.DEL R),35,1
319,ESTACION JOSEFINA,ESTACION JOSEFINA,35,1
320,ESTACION LEON CUE,ESTACION LEON CUE,35,1
321,ESTACION MAIZ CUE,ESTACION MAIZ CUE,35,1
322,ESTACION MOLINAS CUE,ESTACION MOLINAS CUE,35,1
323,ESTACION PRIMAVERA,ESTACION PRIMAVERA,35,1
324,ESTACION SAN FILIPO,ESTACION SAN FILIPO,35,1
325,ESTACION SAN JOSE,ESTACION SAN JOSE,35,1
326,ESTACION SANJITA,ESTACION SANJITA,35,1
327,ESTACION SANTA ELENA,ESTACION SANTA ELENA,35,1
328,ESTACION YASYRETA,ESTACION YASYRETA,35,1
329,ESTANCIA ISLA ROSARIO,ESTANCIA ISLA ROSARIO,35,1
330,ESTANCIA TORO PASO,ESTANCIA TORO PASO,35,1
